"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 12:16:15 UTC 2022","Tue Nov 08 12:16:37 UTC 2022","22077","","Edit Profile: [VS-721] User is able to change ""Smoke""","","Edit Profile: [VS-721] User is able to change ""Smoke""","Should go to ""Edit Profile"" page.","Should go to ""Edit Profile"" page.",""
"passed","Tue Nov 08 12:16:37 UTC 2022","Tue Nov 08 12:16:46 UTC 2022","8745","","Edit Profile: [VS-721] User is able to change ""Smoke""","","Edit Profile: [VS-721] User is able to change ""Smoke""","Should go to ""View Profile"" and verify that ""Smoke"" is changed.","Should go to ""View Profile"" and verify that ""Smoke"" is changed.",""
"passed","Tue Nov 08 11:57:59 UTC 2022","Tue Nov 08 11:58:08 UTC 2022","8215","","Edit Profile: [VS-716] User is able to change ""Interests""","","Edit Profile: [VS-716] User is able to change ""Interests""","Should go to ""View Profile"" and verify that ""Interests"" is changed.","Should go to ""View Profile"" and verify that ""Interests"" is changed.",""
"passed","Tue Nov 08 12:31:39 UTC 2022","Tue Nov 08 12:31:47 UTC 2022","8544","","Edit Profile: [VS-724] User is able to change ""Politics""","","Edit Profile: [VS-724] User is able to change ""Politics""","Should go to ""View Profile"" and verify that ""Politics"" is changed.","Should go to ""View Profile"" and verify that ""Politics"" is changed.",""
"passed","Tue Nov 08 12:30:52 UTC 2022","Tue Nov 08 12:31:18 UTC 2022","25945","","Edit Profile: [VS-724] User is able to change ""Politics""","","Edit Profile: [VS-724] User is able to change ""Politics""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:22:30 UTC 2022","Tue Nov 08 11:22:38 UTC 2022","7254","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","Should go to ""View Profile"" and verify that ""My Favorite Quote"" is changed.","Should go to ""View Profile"" and verify that ""My Favorite Quote"" is changed.",""
"passed","Tue Nov 08 11:32:17 UTC 2022","Tue Nov 08 11:32:22 UTC 2022","5160","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","","Edit Profile: [VS-685] User is able to add/edit ""My Favorite Quote""","Should go to ""Edit Profile"" page and add/edit ""My Favorite Quote"".","Should go to ""Edit Profile"" page and add/edit ""My Favorite Quote"".",""
"passed","Tue Nov 08 13:03:41 UTC 2022","Tue Nov 08 13:04:37 UTC 2022","56045","","Members: [VS-2569] User is able to filter members","","Members: [VS-2569] User is able to filter members","Should filter users by age.","Should filter users by age.",""
"passed","Tue Nov 08 11:36:56 UTC 2022","Tue Nov 08 11:37:14 UTC 2022","17805","","Edit Profile: [VS-712] User is able to change ""Location""","","Edit Profile: [VS-712] User is able to change ""Location""","Should go to ""Edit Profile"" page and change ""Location"".","Should go to ""Edit Profile"" page and change ""Location"".",""
"passed","Tue Nov 08 11:06:44 UTC 2022","Tue Nov 08 11:07:17 UTC 2022","33294","","Edit Profile: [VS-673] User is able to see profile preview","","Edit Profile: [VS-673] User is able to see profile preview","Should go to account.","Should go to account.",""
"failed","Tue Nov 08 12:00:10 UTC 2022","Tue Nov 08 12:00:30 UTC 2022","20276","","Edit Profile: [VS-719] User is able to change ""Star sign""","","Edit Profile: [VS-719] User is able to change ""Star sign""","Should go to ""View Profile"" and verify that ""Star sign"" is changed.","Should go to ""View Profile"" and verify that ""Star sign"" is changed.",""
"passed","Tue Nov 08 11:42:12 UTC 2022","Tue Nov 08 11:42:20 UTC 2022","8139","","Edit Profile: [VS-713] User is able to change ""Nationality""","","Edit Profile: [VS-713] User is able to change ""Nationality""","Should go to ""View Profile"" and verify that ""Nationality"" is changed.","Should go to ""View Profile"" and verify that ""Nationality"" is changed.",""
"passed","Tue Nov 08 11:41:31 UTC 2022","Tue Nov 08 11:41:56 UTC 2022","25198","","Edit Profile: [VS-713] User is able to change ""Nationality""","","Edit Profile: [VS-713] User is able to change ""Nationality""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:33:07 UTC 2022","Tue Nov 08 12:33:41 UTC 2022","33868","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","","Matching Survey: [VS-2509] User is able to fill up ""Matching Survey""","Should go to account.","Should go to account.",""
